degree,unweighted_euler_coefficient,unweighted_trace_exponential_coefficient,unweighted_determinant_coefficient,phase_euler_coefficient,phase_trace_exponential_coefficient,phase_determinant_coefficient,phase_substitution_coefficient,all_exactly_equal
0,1,1,1,1,1,1,1,true
1,0,0,0,0,0,0,0,true
2,3,3,3,3,3,3,3,true
3,2,2,2,-2,-2,-2,-2,true
4,9,9,9,9,9,9,9,true
5,12,12,12,-12,-12,-12,-12,true
6,31,31,31,31,31,31,31,true
7,54,54,54,-54,-54,-54,-54,true
8,117,117,117,117,117,117,117,true
9,224,224,224,-224,-224,-224,-224,true
10,459,459,459,459,459,459,459,true
11,906,906,906,-906,-906,-906,-906,true
12,1825,1825,1825,1825,1825,1825,1825,true
